rate_id,smelling_user_id,상의_식별자,상의_색상,상의_카테고리,상의_이미지_경로,하의_식별자,하의_색상,하의_카테고리,하의_이미지_경로,원피스_식별자,원피스_색상,원피스_이미지_경로,계절,perfume_id,Brand,perfume_img_url,smelling_rate
1,1001,1090632.0,브라운,티셔츠,,1168641.0,블루,청바지,,,,,봄,1310,yves-saint-laurent,,88
2,1001,1090632.0,브라운,티셔츠,,1168641.0,블루,청바지,,,,,봄,617,le-labo,,73
3,1001,1090632.0,브라운,티셔츠,,1168641.0,블루,청바지,,,,,봄,478,yves-saint-laurent,,50
4,1001,1090632.0,브라운,티셔츠,,1168641.0,블루,청바지,,,,,봄,1452,guerlain,,51
5,1001,1090632.0,브라운,티셔츠,,1168641.0,블루,청바지,,,,,봄,767,giorgio-armani,,80
6,1001,1090632.0,브라운,티셔츠,,1168641.0,블루,청바지,,,,,봄,135,calvin-klein,,68
7,1001,1090632.0,브라운,티셔츠,,1168641.0,블루,청바지,,,,,봄,907,giorgio-armani,,59
8,1001,1090632.0,브라운,티셔츠,,1168641.0,블루,청바지,,,,,봄,618,versace,,79
9,1001,1090632.0,브라운,티셔츠,,1168641.0,블루,청바지,,,,,봄,918,versace,,61
10,1001,1090632.0,브라운,티셔츠,,1168641.0,블루,청바지,,,,,봄,353,guerlain,,57
11,1001,1090632.0,브라운,티셔츠,,1168641.0,블루,청바지,,,,,봄,208,lanvin,,71
12,1001,1090632.0,브라운,티셔츠,,1168641.0,블루,청바지,,,,,봄,1207,jo-malone-london,,55
13,1001,1090632.0,브라운,티셔츠,,1168641.0,블루,청바지,,,,,봄,1075,chanel,,67
14,1002,967850.0,화이트,블라우스,,512500.0,핑크,스커트,,,,,여름,124,jo-malone-london,,73
15,1002,967850.0,화이트,블라우스,,512500.0,핑크,스커트,,,,,여름,257,jimmy-choo,,77
16,1002,967850.0,화이트,블라우스,,512500.0,핑크,스커트,,,,,여름,1074,chanel,,82
17,1002,967850.0,화이트,블라우스,,512500.0,핑크,스커트,,,,,여름,1202,guerlain,,58
18,1002,967850.0,화이트,블라우스,,512500.0,핑크,스커트,,,,,여름,1124,jimmy-choo,,55
19,1002,967850.0,화이트,블라우스,,512500.0,핑크,스커트,,,,,여름,992,acqua-di-parma,,85
20,1003,,,,,,,,,2438.0,민트,,가을,259,yves-saint-laurent,,84
21,1003,,,,,,,,,2438.0,민트,,가을,393,elizabeth-arden,,63
22,1003,,,,,,,,,2438.0,민트,,가을,1323,yves-saint-laurent,,81
23,1003,,,,,,,,,2438.0,민트,,가을,1151,creed,,79
24,1003,,,,,,,,,2438.0,민트,,가을,719,santa-maria-novella,,67
25,1003,,,,,,,,,2438.0,민트,,가을,968,giorgio-armani,,64
26,1003,,,,,,,,,2438.0,민트,,가을,1194,byredo,,67
27,1003,,,,,,,,,2438.0,민트,,가을,867,creed,,79
28,1003,,,,,,,,,2438.0,민트,,가을,1263,guerlain,,75
29,1003,,,,,,,,,2438.0,민트,,가을,727,guerlain,,79
30,1003,,,,,,,,,2438.0,민트,,가을,263,calvin-klein,,71
31,1003,,,,,,,,,2438.0,민트,,가을,240,giorgio-armani,,80
32,1004,1209067.0,블랙,니트웨어,,1134944.0,실버,팬츠,,,,,봄,122,guerlain,,54
33,1004,1209067.0,블랙,니트웨어,,1134944.0,실버,팬츠,,,,,봄,778,byredo,,64
34,1004,1209067.0,블랙,니트웨어,,1134944.0,실버,팬츠,,,,,봄,188,elizabeth-arden,,63
35,1004,1209067.0,블랙,니트웨어,,1134944.0,실버,팬츠,,,,,봄,1390,chanel,,82
36,1004,1209067.0,블랙,니트웨어,,1134944.0,실버,팬츠,,,,,봄,674,acqua-di-parma,,66
37,1004,1209067.0,블랙,니트웨어,,1134944.0,실버,팬츠,,,,,봄,147,calvin-klein,,66
38,1004,1209067.0,블랙,니트웨어,,1134944.0,실버,팬츠,,,,,봄,1051,diptyque,,92
39,1005,477321.0,화이트,셔츠,,1010150.0,화이트,스커트,,,,,겨울,902,creed,,77
40,1005,477321.0,화이트,셔츠,,1010150.0,화이트,스커트,,,,,겨울,1001,jo-malone-london,,96
41,1005,477321.0,화이트,셔츠,,1010150.0,화이트,스커트,,,,,겨울,1088,santa-maria-novella,,58
42,1005,477321.0,화이트,셔츠,,1010150.0,화이트,스커트,,,,,겨울,752,guerlain,,69
43,1005,477321.0,화이트,셔츠,,1010150.0,화이트,스커트,,,,,겨울,207,lanvin,,73
44,1005,477321.0,화이트,셔츠,,1010150.0,화이트,스커트,,,,,겨울,617,le-labo,,78
45,1006,,,,,,,,,2006.0,네이비,,여름,908,giorgio-armani,,85
46,1006,,,,,,,,,2006.0,네이비,,여름,56,diptyque,,62
47,1006,,,,,,,,,2006.0,네이비,,여름,1359,guerlain,,73
